business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open
xPWfBAXS1s5fw2Qcb8xX7g,Luciana's Mexican Restaurant and Cantina,3716 E 82nd St,Indianapolis,IN,46240,39.9100708,-86.103308,3.5,216,1
evxhNYa77dxWZabIpGQCkg,Haru,"5210 Longley Ln, Ste 500",Reno,NV,89511,39.4762963749,-119.7633539513,4.0,202,1
Zdw5rbtAWguwcT9h_X4xRA,Johnson's Corner Farm,133 Church Rd,Medford,NJ,08055,39.9195601963,-74.8512280603,3.5,169,1
_iHV--nOdqTMbINQtMehzQ,Char's Thai,5039 E 5th St,Tucson,AZ,85711,32.2291367,-110.8848483,3.5,209,1
Ghn6flCdNlOchzLA29tkjQ,Basso,7036 Clayton Ave,Saint Louis,MO,63117,38.6332291902,-90.306749048,4.0,463,1
kpmGHDhrCd2Ps7HCEO162w,Georgine's Restaurant,1320 Newport Rd,Bristol,PA,19007,40.104601,-74.890871,3.0,131,1
MxRZHZoDVVnN7EvMAHf1EA,Fleming’s Prime Steakhouse & Wine Bar,4322 W Boy Scout Blvd,Tampa,FL,33607,27.9621936621,-82.5159262215,4.0,502,1
xmRuCnMaXldWXkYnlCo-fg,Rolled Mountain Creamery,"7400 Rancharrah, Ste170",Reno,NV,89511,39.4679745824,-119.7936632833,4.5,110,1
67gnSHwFRKgtXlzHzuyGMQ,Feast,3719 E Speedway Blvd,Tucson,AZ,85716,32.2364311121,-110.9133633356,4.0,468,1
RRIJlZUVvz2CkMrDn2UziQ,El Merkury,2104 Chestnut St,Philadelphia,PA,19103,39.952185,-75.1758693,4.5,162,1
ziMvN9iVXWQJrBtzcEONMg,Philly Pretzel Factory,1532 Sansom St,Philadelphia,PA,19102,39.950452,-75.1670215,4.0,117,1
1VnjvQKmWNY9uzJwLAmX1Q,King Siam Thai Cuisine,907 12th Ave S,Nashville,TN,37203,36.1468067,-86.78613,5.0,126,1
0a9Miij7BFmKm83Iqni5sA,Capital Tacos,"27209 State Rd 56, Fl 56",Wesley Chapel,FL,33545,28.1866293218,-82.3661844841,4.0,754,1
NxyWNRXB3O-aBQQLx1ckrA,Chipotle Mexican Grill,2576 E Fowler Ave,Tampa,FL,33612,28.0548732792,-82.429812,2.5,161,1
cXSyVvOr9YRN9diDkaWs0Q,Honey's Sit-N-Eat,800 N 4th St,Philadelphia,PA,19123,39.96399,-75.1444822,4.0,1396,1
nSHq493WltUlr9cFfS-YJQ,Beholder,1844 E 10th St,Indianapolis,IN,46201,39.7816033,-86.126861,4.0,161,1
j_6LvHUJlu-wI5bJUDgMtA,Tin Roof Tacos,1750 W McMillan Dr,Meridian,ID,83646,43.6487784177,-116.4151289748,3.5,147,1
m5-FtgWRd4qA7j0vaOXiXQ,Preservation Hall,726 Saint Peter St,New Orleans,LA,70116,29.9583052183,-90.0654261542,4.5,745,1
CUsM2ZJAMUkUsf5-G7Js7Q,Clayton Nail Spa,7933 Clayton Rd,Clayton,MO,63117,38.6378927,-90.3411711,4.0,359,1
F2C5ENuY8CXfgoW-gAMdDA,Revolucion,1132 Prospect St,Indianapolis,IN,46203,39.7524474,-86.1386729,3.5,456,1
vVfy055EfLMdd0yJYHxiMQ,A La Mousse,145 N 11th St,Philadelphia,PA,19107,39.9552167,-75.1574268,4.5,691,1
r3pPMlv9uNML46kYhgz1tQ,Lilly's Nails & Spa,1817 Magazine St,New Orleans,LA,70130,29.9321273449,-90.0734630978,4.5,264,1
eShigU7-QNh0iyLA41D_-w,The Flying Cupcake Bakery,1134 E 54th St,Indianapolis,IN,46208,39.8514026471,-86.1385013082,3.5,133,1
-dVBeSZxtxpHQ3XdL4E4bQ,The Phils Tavern,931 Butler Pike,Blue Bell,PA,19422,40.138646,-75.244957,3.5,157,1
JvawJ9bSr22xn4R9oLvl_w,Desire Oyster Bar,300 Bourbon St,New Orleans,LA,70130,29.9555269925,-90.0681538393,4.0,1084,1
JjYmXia9-Dy0tGqI088Hfg,La Cabra Brewing,642 Lancaster Ave,Berwyn,PA,19312,40.0476220049,-75.4415199906,4.5,171,1
rNxrlRBeMYsIZiGBJCnNaQ,Umami Asian Bistro and Sushi Bar,150 Eagleview Blvd,Exton,PA,19341,40.0496283035,-75.6641458219,3.5,130,1
kqRnm-AL4uoXNg4V15n10g,B-Unos,350 High St,Burlington,NJ,08016,40.078056,-74.85848,4.0,121,1
NCKTDyUdN2UkVEPKWIwdSA,AMC Dine-In Painters Crossing 9,112 Wilmington Pike,West Chester,PA,19382,39.8828386386,-75.5502015075,2.5,200,1
kiA1mrC2ZVoRmpsWgAT7ow,Hippot Shabu Shabu,1002 Arch St,Philadelphia,PA,19107,39.953486,-75.156575,3.5,302,1
6gH1VR1YwBBOg8nUCPki2Q,Pioneer,1110 Shelby St,Indianapolis,IN,46203,39.751905,-86.139997,4.0,198,0
1l4-uhraQzNiRjppKyMUUQ,Jeannine's American Bakery Restaurant,"7060 Hollister Ave, Ste 105",Goleta,CA,93117,34.431189,-119.8740625,4.5,117,1
yw3vRR7XLIjEnlhMnVzR7w,Kai Sushi Shabu-Shabu,738 State St,Santa Barbara,CA,93101,34.419763,-119.6989834,2.5,240,1
h4lW8utlD_aXFo-5LDY7cg,Portillo's Hot Dogs,8150 Us-31,Indianapolis,IN,46227,39.6484489309,-86.1364556614,3.5,164,1
CuyQt_cUFS1i738GXTNciw,Effie's Restaurant,1127 Pine St,Philadelphia,PA,19107,39.9451062,-75.1606111,3.5,315,1
IRMRvgD4uL4zTguZonV-uQ,Mi Nail Salon,3865 E 82nd St,Indianapolis,IN,46240,39.907885,-86.100298,4.5,259,1
6rOZ16N6YlpLC9_7fDnMLw,Zoes Kitchen,1200 Haddonfield Rd,Cherry Hill,NJ,08002,39.9205559,-75.0332966,4.5,150,1
Bq0CQcwk5R8yhm-MGfHxCA,Chef Alisah's,5931 N Oracle Rd,Tucson,AZ,85704,32.314993,-110.977809,4.5,479,1
4fUok5d5vgdQEb1Bzzg0rA,Olive Garden Italian Restaurant,1315 W Esplanade Ave,Kenner,LA,70065,30.0200051249,-90.2493493809,3.5,115,1
HGWOGjd6azyrdf0Ovnp9OA,New Orleans Hamburger & Seafood Co,6920 Veterans Memorl Blvd,Metairie,LA,70003,30.0045841087,-90.2179056175,3.5,105,1
xSn2d1RTvK7e4KM0bI2NLg,Nachomamas Tex-Mex,9643 Manchester Rd,Saint Louis,MO,63105,38.6087681,-90.3684727,3.0,301,1
QeqIUnIchD2evwHCUSTEww,Hanabi Japanese Restaurant,"214 Ward Cir, Ste 700",Brentwood,TN,37027,36.031314,-86.8024729,4.0,151,0
MwCs34rji1d4lZ58xzzvrQ,Okinii Modern Japanese,3818 W Lincoln Hwy,Downingtown,PA,19335,39.9959557005,-75.7440490212,4.0,133,1
w9WLlcY_mziJ6qAB6WtpsA,The Flying V Bar & Grill,7000 N Resort Dr,Tucson,AZ,85750,32.327823,-110.850591,4.0,152,1
L4aVo136aPLwxQHSM0vz7A,Florida Botanical Gardens,12520 Ulmerton Rd,Largo,FL,33774,27.8805833016,-82.8061604301,4.5,103,1
wIWeB5ip5W4fk1Dm0Zp79g,Tohono Chul Park,7366 N Paseo Del Norte,Tucson,AZ,85704,32.3386754429,-110.9821422133,4.5,113,1
MsgWKX-hUG35a0nLcCAKrg,Currito,"8500 Essington Ave, Philadelphia International Airport, Terminal A",Philadelphia,PA,19153,39.874423,-75.247136,3.5,125,1
z6f17I5oH2xIq43h6US0AQ,Lamothe House Hotel,621 Esplanade Ave,New Orleans,LA,70116,29.9632674,-90.0592591,4.0,102,1
6AGpQJdTQmbzx7c2-D0vsQ,Hop House Southern Eatery,1214 Central Park Dr,O'Fallon,IL,62269,38.5766527,-89.9338716,4.0,407,1
UkBmK4Icaximp2DY2Zf_iw,Crabby Cafe and Sports Bar,"1050 N Hancock St, Unit 1",Philadelphia,PA,19123,39.9664438,-75.139576,3.0,151,0
l9bEzlgRhvuGYJOGz7WZ2Q,Bar Louie - Streets of St. Charles,"1650 Beale St, Ste 180",Saint Charles,MO,63303,38.7659338275,-90.49381077,3.5,302,1
lTlii3QHEVvsagPGsCtu9w,Han Dynasty,260 N Pottstown Pike,Exton,PA,19341,40.0343489805,-75.6338210589,3.5,301,1
yXX7xmclZkuBif-7QoyCuw,Pho Eden,1900 Greentree Rd,Cherry Hill,NJ,08003,39.9060517,-74.9648058,4.0,166,1
QFzJKnSUtkgSs1lKOOxXeA,Academy of Natural Sciences,1900 Benjamin Franklin Pkwy,Philadelphia,PA,19103,39.957018627,-75.1712603922,4.0,131,1
UK007MpAU5B6P4o7_dVsTA,"Between the Bun - Burgers, Dogs and More","2222 W Southport Rd, Ste A",Indianapolis,IN,46217,39.664831,-86.198267,4.0,257,1
ljbmEIJs2Ta1yGxt18YuhQ,Best Western Plus South Coast Inn,5620 Calle Real,Goleta,CA,93117,34.4419415662,-119.8201022858,3.5,129,1
Oc7XxUdoi1l4SCV-BLOSTw,Gerhard's Appliance Warehouse Sale,270 New Jersey Dr,Fort Washington,PA,19034,40.139597,-75.1971358715,1.5,126,0
mf1udZPfiikBAND9upDdoQ,Bam Bam Kitchen,31 E Lancaster Ave,Ardmore,PA,19003,40.0075398799,-75.2897699922,4.5,126,1
cFoUuE6thjn88cVCTqYBHw,Johnny's Italian Restaurant,"2907 State Road 590, Ste 1",Clearwater,FL,33759,27.9822,-82.7167155,3.5,218,1
HqgMCVe-jvlP0kT93M_5Sg,Crispy Cajun,2097 Drew St,Clearwater,FL,33765,27.9676007,-82.7508542,4.0,317,1
u4SoM_ljOMxmuQ8GIr1m8A,Dosa Hut & Chaat House,2864 Ridge Pike,Norristown,PA,19403,40.1496675,-75.3975398,3.5,147,0
b7UPlhqUiliUy9vITKHGvQ,The Wayfarer,12 E Montecito St,Santa Barbara,CA,93101,34.4150289,-119.69232,4.0,141,0
yqiN-9RQ8yrnVI9IPmYVNw,New Orleans Marriott Metairie at Lakeway,"3838 N Causeway Blvd, Ste 100",Metairie,LA,70002,30.0183086,-90.1555699,3.0,102,1
HSv0Pe45yPAs6PgwlcTPcg,Dog and Bull,810 Bristol Pike,Croydon,PA,19021,40.0940274,-74.9063704,4.0,406,1
0kdx-VVbjY7Jvlvgs6nGUA,54th Street Grill & Bar,2895 Hwy 67,Florissant,MO,63033,38.8085928,-90.3011658,2.5,100,0
HE-9l_2RSingLV2RZItdsA,Anna's Marketplace Bakery,7018 Marketplace Dr,Goleta,CA,93117,34.4294598,-119.8721309,4.0,204,1
_RwlMTw9uFeOkfX9Ctf1HA,Dinardo's Famous Crabs,312 Race St,Philadelphia,PA,19106,39.9540048,-75.1454969,2.5,256,0
j8YIaLJ5TnVjtPApaZeyjA,Think Pink Nail & Spa,"1650 Beale St, Ste 169",Saint Charles,MO,63303,38.7658108157,-90.4939815428,3.5,156,1
C4mWzmxdWDtYR0tFRVGOPA,The Legend Classic Irvington Cafe,5614 E Washington St,Indianapolis,IN,46219,39.7709474,-86.0715593,4.5,234,0
2R3VHZy6yys7iS8SuSMbbQ,Mellow Mushroom,3131 Veterans Memorial Blvd,Metairie,LA,70002,30.00398,-90.153995,3.5,151,0
x063XOQJCfTsKvS7iPLSsQ,Another Broken Egg Cafe,2917 Magazine St,New Orleans,LA,70115,29.925415,-90.084253,3.5,408,1
tB971SQcyzBs-nqZl1_PjQ,Bottega Michelangelo,420 W Magee Rd,Tucson,AZ,85704,32.3523611,-110.9764168,4.0,391,1
nygJ4mY0glpdWGv_Hmp6Dg,Joe's Crab Shack,123 2nd Ave S,Nashville,TN,37201,36.1609473485,-86.7748649418,3.0,192,1
DB8YfpBxsPlxDcNhfTKOWA,Blue Nail & Spa,2107 Walnut St,Philadelphia,PA,19103,39.9508436,-75.176231,4.0,227,1
jz_ju6uhi7_2T8IjCSk8dw,Charred Pie,"12125 N Oracle Rd, Ste 105",Oro Valley,AZ,85737,32.425584,-110.938092,4.0,164,1
pdh91rffpM9QptHSXjJFVQ,Viet Kitchen,3698 W Waters Ave,Tampa,FL,33614,28.0247456,-82.5034875,4.5,109,1
mnwTbHyIgpMvOG9705zqWA,Country Music Hall of Fame and Museum,222 Rep. John Lewis Way S,Nashville,TN,37203,36.158266,-86.776126,4.0,662,1
YRw8RmnSc1olsEFTf5H6Eg,The Dog House and More,106 N US Hwy 41,Ruskin,FL,33570,27.720091,-82.4346489,4.5,133,1
Wk21f0DAM7uj3DaJ_rMI-Q,Brunchies - Lutz,24400 State Rd 54,Lutz,FL,33559,28.1853891799,-82.4130005556,4.0,272,1
LdK6Tqr9-QK8eNezCUes9A,Mel's Kitchen,5001 Umbria St,Philadelphia,PA,19128,40.0359954,-75.2359063583,4.5,206,0
bsUZVF1WNrrwXvkAhoKRaQ,The Rutledge,105 International Dr,Franklin,TN,37067,35.955868,-86.8046398698,3.5,157,1
vhWlxyLEWAbNOMtQ42yzFg,Norton's Pastrami & Deli,18 W Figueroa St,Santa Barbara,CA,93101,34.4219915,-119.7038202,4.5,492,1
yk5S9Lrs0EUHUKxujlGEAA,Quarter Grocery & Deli,836 Burgundy St,New Orleans,LA,70116,29.961314,-90.0659809,4.5,108,1
E6HHiJMCpTkjOsSly3kzeA,The Imperial,320 S Kellogg Ave,Goleta,CA,93117,34.434748538,-119.8197529045,4.5,128,1
geUiM_VTRmUz6dViO7E-jg,Brixx Wood Fired Pizza,8594 E 116th St,Fishers,IN,46038,39.9570402367,-86.0173780878,4.0,193,0
Eto7duDaxGiOvtakWiGEqg,Gyro Shack,6871 W Overland Rd,Boise,ID,83709,43.5897352,-116.2669542,4.0,170,1
B1OjiK9Bx5t_mIm9I6mZ-Q,Pho Kien Giang,8730 49th St N,Pinellas Park,FL,33782,27.8518584,-82.7006277,4.5,407,1
UApicJDoDgayR1N1ZLL3vw,Nicki's Omelette & Grill,6805 W Hillsborough Ave,Tampa,FL,33634,27.9968321,-82.5550403,4.0,415,1
j2580WwGiOO7IUlY7jOyRQ,Freddy Hill Farms,1440 Sumneytown Pike,Lansdale,PA,19446,40.236936,-75.3276893,3.5,135,1
8kh6Z3c8UHQKmsy0_TbOnA,Carmo,527 Julia St,New Orleans,LA,70130,29.9455561516,-90.0699020516,4.5,1164,1
S8obO75HdAxvT0QPAMFqwg,A Full Plate,1009 N Bodine St,Philadelphia,PA,19123,39.9674013268,-75.14140052,3.5,135,0
i_ebZdLk-SePyN6VQYdL-g,Fattoush,182 Lancaster Ave,Malvern,PA,19355,40.0408405,-75.5385422,4.5,254,1
LiH_a3ZxwxKACzrYbzXXQQ,Maple Glen Pizza,641 E Welsh Rd,Maple Glen,PA,19002,40.1795729,-75.1818139,3.0,111,1
LRr-aw58xVMkUu0OSL_BpQ,The Little One,151 N Stone Ave,Tucson,AZ,85701,32.2241254,-110.9718282,4.5,347,1
ZM9EQa_wvrcwTwS_E5giMw,Mount Everest Momo Cafe,2144 S Broadway Ave,Boise,ID,83706,43.5848767,-116.1934959,4.5,269,1
sAVZbkhmIt0Am-iPJcFzig,Holliday Park,6363 Spring Mill Rd,Indianapolis,IN,46260,39.871962,-86.164927,4.5,116,1
WtH2z1TlxLgh5mZrGQnkuw,M.L.Rose Craft Beer & Burgers - Capitol View,431 11th Ave N,Nashville,TN,37203,36.163019,-86.7914489,4.0,116,1
n9FawYfi8T0Rou6mVuaigQ,Gina's Stonefired Italian & Pizzeria,"3046 Columbia Ave, Ste 118",Franklin,TN,37064,35.8936662506,-86.8787767719,4.0,132,1
-cEFKAznWmI0cledNOIQ7w,Gran Caffe L'Aquila,1716 Chestnut St,Philadelphia,PA,19103,39.9512789,-75.1695181,4.5,1138,1
wXUg9bsJ9b4PS4pie8GVIA,First Watch,"10565 N Oracle Rd, Ste 103",Oro Valley,AZ,85737,32.39786,-110.958336,4.0,246,1
Hi4AgS-uR-lEOF4oZl546g,China Pasta House,430 N Park Ave,Tucson,AZ,85719,32.227359,-110.9560773,4.0,219,1
MMvNlr5F6NZ68wAokp70sA,Granite City Food & Brewery,150 W. 96th St.,Carmel,IN,46290,39.927189,-86.160537,3.0,246,0
9h0i4lVC5eCVhRTanWsEAg,Le Cafe Stella,3302 Mc Caw Ave,Santa Barbara,CA,93105,34.4385383,-119.7351631,3.5,263,1
-JAwNIEJoDXmdE_8sS_BJQ,Scotty's Brewhouse,4530 Southport Crossing Dr,Indianapolis,IN,46237,39.6636726,-86.0907882,3.0,118,0
sr-5EY6bmp4jINhea06MjA,The Cake Bake Shop by Gwendolyn Rogers-Broad Ripple Village,6515 Carrollton Ave,Indianapolis,IN,46220,39.8739995,-86.1444306,4.0,996,1
0yEl45kZ8o37lvpkhCBM4w,Monkey Board,"1111 Gravier St, Fl 17",New Orleans,LA,70112,29.9533897,-90.0744212,3.5,173,1
OiAFbmA3PGCgNBzCjiwXkg,Rock Brothers Brewing,1901 N 15th St,Tampa,FL,33605,27.9611699,-82.4427741,4.5,104,1
2PeuTPjcC5jEyrMt9o-w7w,Piccione Pastry,1414 Park Ave,St. Louis,MO,63104,38.6153518,-90.2073954,4.5,267,0
mEam9yl2KQs0ebKgj3mPZw,Panache Woodfire Grill,602 Skippack Pike,Blue Bell,PA,19422,40.1524837551,-75.2657691465,2.5,333,1
uF2HWZ3tTq91ZYdpwTWEzw,Evo Brickoven Pizza,277 W Mt Pleasant Ave,Philadelphia,PA,19119,40.0546098,-75.1939698,4.0,172,1
ESgGX4_yw6pnVVQA-oyHsg,Little Thai Market,51 N 12th St,Philadelphia,PA,19107,39.9531593,-75.1590984,4.0,189,1
JXnatL1ALEIL-0JZbDitbw,Bistro 7,7 N 3rd St,Philadelphia,PA,19106,39.9505744,-75.1454639,3.5,108,0
9datL-qMsIdhMHb3apzqeA,Hibachi Japanese Steak House & Sushi Bar,145-147 S State Rd,Springfield,PA,19064,39.9378007,-75.3494646,3.0,101,1
5dIS6fNq-t5tdj5X56rTzg,Kosmo Pizza & Grille,"1347 S St, Ste 4",Philadelphia,PA,19147,39.9437308043,-75.1647151245,4.5,162,0
W1MS8p3I6UQUL-5K2dZkPw,Jaffron Indian Restaurant,11B W Bridge St,New Hope,PA,18938,40.3641621,-74.9523337865,4.0,174,1
19wx431VQzIHTz3DcDy2pw,Leah's Pralines,714 St Louis St,New Orleans,LA,70130,29.9565412,-90.0666099,4.5,172,1
GTNh2Jx56qE5kJSOVZxZlg,Cigar City Brewing,4100 George J Bean Pkwy,Tampa,FL,33607,27.976725964,-82.5377468,3.0,164,1
um2W1Gi4-zR7e17t5pZ_Pg,Nashville Street Tacos,129 2nd Ave N,Nashville,TN,37201,36.1626250764,-86.7758470774,3.5,103,0
sJmqrVw2Q8g2UcCu7LY7TA,Joia Fabulous Pizza & Martini Bar,10475 Gibsonton Dr,Riverview,FL,33578,27.8547046,-82.3281056,3.5,180,1
K-xbMAQYJKC5HlpvC0lnDg,The District Coffee House,219 N 10th St,Boise,ID,83702,43.6182542,-116.2047332,4.5,184,1
w6CL1Ro5rLWqrs6Ku0gh7A,Split Rail Tavern,15 N Walnut St,West Chester,PA,19380,39.9608184,-75.6034634,4.0,200,1
3Sxj2NQ-2Gr06qoax1R-Kw,Takara Sushi & Sake Lounge,14913 Bruce B Downs Blvd,Tampa,FL,33613,28.082762,-82.412285,4.0,158,0
Xat8Yhqly9GdM7kYcfQJyA,First Watch,"775 East Lancaster Ave, Ste 140",Villanova,PA,19085,40.036961,-75.351712,3.5,152,1
EM0jUQn-SEnttG8hf-Eq6A,Bardenay Restaurant & Distillery - Eagle,155 E Riverside St,Eagle,ID,83616,43.686635,-116.352242,4.0,351,1
vyyr3G874jpRYSQo2KPZow,Cristino's Bakery,170 Aero Camino,Goleta,CA,93117,34.432215,-119.8481,5.0,117,1
derKTThMWqGXsl2ZFVv5Lg,Fat Dan's Deli Carmel,840 W Main St,Carmel,IN,46032,39.9785639603,-86.1424100701,3.5,111,1
qkMMO794-59404bUiJ1Odg,Central Table,23 S Euclid Ave,Saint Louis,MO,63108,38.6396437,-90.2625462,3.0,174,0
Yh_KhyVD6ZBwsIQQ1wSUpw,Pho An Hoa Restaurant,2730 W Waters Ave,Tampa,FL,33614,28.0250188,-82.4881568,4.0,160,1
iaBU5h_j0TCrUFzTbjFIlw,Laser Remedy MedSpa,163 W Girard Ave,Philadelphia,PA,19123,39.9695465,-75.1386445,4.5,151,1
y1ZPi7c6sSkWdE1p2vUo-Q,PizzaRev,12 W. De La Guerra St,Santa Barbara,CA,93101,34.4192413388,-119.6999922914,4.0,142,0
WB-eQAgw88fbr15eY761CA,Osteria Natalina,3215 S MacDill Ave,Tampa,FL,33629,27.916779,-82.494288,4.5,400,1
c7ZxVUJVjEOe9hLhvKGnDA,Noble Rice,807 W Platt St,Tampa,FL,33606,27.9418113,-82.4681587528,4.0,218,0
Fe9WDVsrEM9H0X_aFDuYVA,Herbie's Restaurant,8100 Maryland Ave,Clayton,MO,63105,38.6517233201,-90.3414325043,3.5,169,1
hgbSjUZ9J4yauE_v6nuIyg,Locavore,3110 S Bown Way,Boise,ID,83706,43.5739231,-116.1548354,3.5,134,1
-09Oc2D14vRnmirPh0vlXw,Cracker Barrel Old Country Store,110 Hancock Ln,Mount Holly,NJ,08060,40.02844,-74.81503,3.0,135,1
mmIF5p4HqyrKSs805mm1lA,Trader Joe's,3909 Hillsboro Pike,Nashville,TN,37215,36.1050835,-86.815626,4.5,224,1
Eqfks4GEn5dsI4ZGiPrCVQ,Vivace,6440 N Campbell Ave,Tucson,AZ,85718,32.324063,-110.927315,4.0,557,1
I3_iREO5YfeuuO2CkeHc9g,The 5 Spot,1006 Forrest Ave,Nashville,TN,37206,36.1783909,-86.7503849,4.0,136,1
R_u4QTal0d5f-FHr7BUXcw,Smoking Barrels BBQ - St. Louis,5641 S Kingshighway Blvd,St. Louis,MO,63109,38.5786660098,-90.2823078632,4.0,295,1
9ocQBw69M6V3N9LUafw2dg,Five Daughters Bakery 12south,1110 Caruthers Ave,Nashville,TN,37204,36.1258702943,-86.7887662943,4.5,932,1
g1y0pKT3L80JNjvobavoeg,Late Harvest Kitchen,8605 River Crossing Blvd,Indianapolis,IN,46240,39.9127567252,-86.104538833,4.5,294,1
jRsUJuvs1zLr9Z5krpZMgQ,Zinburger Wine and Burger Bar,Haddonfield Rd,Cherry Hill,NJ,08002,39.9370629,-75.0303005,3.5,472,0
x39G7-aTCVh-972fgogKtA,Old City Coffee,221 Church St,Philadelphia,PA,19106,39.95079,-75.144829,4.0,239,1
